ID_Prestamo,ID_Cliente,Nombre_Cliente,Apellido_Cliente,Lugar_Trabajo,Ciudad,Region,Latitud,Longitud,Monto_Prestamo,Tasa_Interes_Anual,Garantia,Valor_Garantia,Fecha_Inicio,Fecha_Termino,Monto_Pagado,Saldo_Pendiente,Estado_Pago,Tiempo en Meses del prest,Tiempo_del_Prestamo,Tiene_Atrasos,Estado
1,180,Fernando,González,Empresa H,Salvaleón de Higüey,Este,18.615,-68.7076,27586.48,6.87,Electrónica,75000,3/9/2023,2/9/2024,9542.08,18044.4,Atrasado,15,"1 año, 3 meses, 23 días",Sí,En Legal
2,19,Isabel,Mendoza,Empresa G,Concepción de La Vega,Cibao Norte,19.1199,-70.6483,10333.77,14.69,Arte,200000,11/27/2023,11/27/2024,11851.8,0,Pagado,7,"1 año, 7 meses, 0 día",No,Normal (OK)
3,114,Roberto,Gómez,Empresa G,Monte Plata,Este,18.8076,-69.7844,33729.9,10.41,Maquinaria,180000,12/13/2023,11/13/2024,30454.01,3275.89,Pendiente,6,"1 año, 6 meses, 14 días",No,Normal (OK)
4,186,Lucía,Mendoza,Empresa M,San Juan de la Maguana,Sur,18.8061,-71.2296,6322.18,13.13,Inventario,120000,12/9/2020,11/9/2021,2204.65,4117.53,Atrasado,42,"4 años, 6 meses, 3 días",Sí,En Legal
5,76,Alejandra,Torres,Empresa T,San Francisco de Macorís,Cibao Norte,19.3012,-70.2537,24523.26,5,Joyas,80000,7/4/2021,2/4/2023,25749.42,0,Pagado,35,"3 años, 11 meses, 6 días",No,Normal (OK)
6,143,Gabriela,Martínez,Empresa E,Samaná,Noreste,19.2126,-69.332,46296.51,6.39,Ropa,5000,11/23/2020,8/23/2022,6872.07,39424.44,Atrasado,43,"4 años, 7 meses, 19 días",Sí,En Legal
7,149,Pedro,Santos,Empresa F,Concepción de La Vega,Cibao Norte,19.1199,-70.6483,35290.62,6.98,Libros,2000,1/17/2023,1/17/2025,21970.63,13319.99,Pendiente,17,"1 año, 5 meses, 14 días",No,Normal (OK)
8,126,Juan,Luna,Empresa J,Higuey,Este,18.615,-68.7076,10728.44,6.65,Muebles,90000,4/30/2021,3/30/2023,9343.72,1384.72,Atrasado,38,"3 años, 2 meses, 11 días",Sí,En Legal
9,77,Isabel,Díaz,Empresa N,Higuey,Este,18.615,-68.7076,36124.69,14.93,Electrodomésticos,50000,8/24/2022,2/24/2024,16291.09,19833.6,Atrasado,22,"2 años, 10 meses, 10 días",Sí,En Legal
10,31,Fernando,Ramírez,Empresa V,San Pedro de Macorís,Este,18.4534,-69.3067,24906.99,13.13,Mascotas,3000,5/5/2022,12/5/2022,22478.34,2428.65,Atrasado,25,"2 años, 1 mes, 1 día",Sí,En Legal
11,132,Sofía,Santos,Empresa D,Moca,Cibao Norte,19.4054,-70.526,9166.06,6.86,Electrónica,75000,3/7/2021,3/7/2022,9794.85,0,Pagado,39,"3 años, 3 meses, 5 días",No,Normal (OK)
12,74,Roberto,Díaz,Empresa N,Jarabacoa,Cibao Norte,19.1199,-70.6483,36831.5,9.13,Vehículo,200000,12/13/2021,5/13/2023,40194.22,0,Pagado,30,"3 años, 6 meses, 24 días",No,Normal (OK)
13,30,Juan,Gómez,Empresa S,Puerto Plata,Cibao Norte,19.793,-70.6884,15114.47,14.89,Vehículo,200000,5/26/2021,2/26/2023,5309.47,9805,Atrasado,37,"3 años, 1 mes, 15 días",Sí,En Legal
14,153,Sofía,Peralta,Empresa E,San Francisco de Macorís,Cibao Norte,19.3012,-70.2537,48636.9,9.8,Inventario,120000,10/6/2023,10/6/2024,53403.32,0,Pagado,8,"1 año, 8 meses, 22 días",No,Normal (OK)
15,93,Marta,Cruz,Empresa S,San Pedro de Macorís,Este,18.4534,-69.3067,9871.77,13.37,Inventario,120000,3/18/2020,12/18/2021,11191.63,0,Pagado,51,"4 años, 3 meses, 29 días",No,Normal (OK)
16,87,María,Torres,Empresa H,Puerto Plata,Cibao Norte,19.793,-70.6884,24224.22,13.47,Automóvil,150000,2/21/2020,1/21/2021,27487.22,0,Pagado,52,"4 años, 4 meses, 25 días",No,Normal (OK)
17,3,Lucía,Rojas,Empresa R,El Seibo,Este,18.7649,-69.0386,6416.63,12.68,Electrónica,75000,3/7/2021,11/7/2021,4164.86,2251.77,Atrasado,39,"3 años, 3 meses, 5 días",Sí,En Legal
18,184,Diego,Flores,Empresa D,Santiago de los Caballeros,Cibao Norte,19.4518,-70.697,39467.43,9.57,Mascotas,3000,4/19/2021,2/19/2023,34481.25,4986.18,Atrasado,38,"3 años, 2 meses, 22 días",Sí,En Legal
19,107,Valentina,Cruz,Empresa J,Monte Plata,Este,18.8076,-69.7844,15236.6,14.61,Inventario,120000,8/22/2020,5/22/2021,17462.67,0,Pagado,46,"4 años, 10 meses, 22 días",No,Normal (OK)
20,195,Alejandra,Ramírez,Empresa P,Mao,Noroeste,19.5576,-71.0777,31784.33,7.67,Arte,200000,8/5/2023,12/5/2025,21391.93,10392.4,Pendiente,10,"1 año, 10 meses, 24 días",No,Normal (OK)
21,160,Gabriela,Ramírez,Empresa D,Salcedo,Cibao Norte,19.3827,-70.4165,1507.38,14.71,Electrodomésticos,50000,10/25/2022,11/25/2023,1729.12,0,Pagado,20,"2 años, 8 meses, 8 días",No,Normal (OK)
22,102,María,Sánchez,Empresa E,Baní,Sur,18.2866,-70.3313,41979.04,9.85,Colecciones,100000,1/31/2022,2/28/2023,46113.98,0,Pagado,29,"2 años, 5 meses, 5 días",No,Normal (OK)
23,142,Andrés,Sánchez,Empresa S,Cotuí,Cibao Norte,19.0595,-70.1515,11775.18,14.43,Propiedad,250000,11/26/2022,4/26/2025,7081.19,4693.99,Pendiente,19,"2 años, 7 meses, 6 días",No,Normal (OK)
24,62,Sofía,López,Empresa K,Puerto Plata,Cibao Norte,19.793,-70.6884,40393.47,7.23,Bienes Raíces,30000,3/21/2022,12/21/2023,13285.66,27107.81,Atrasado,27,"2 años, 3 meses, 16 días",Sí,En Legal
25,114,Roberto,Gómez,Empresa G,Monte Plata,Este,18.8076,-69.7844,19091.74,7.78,Mascotas,3000,5/14/2020,1/14/2021,20577.08,0,Pagado,49,"4 años, 1 mes, 2 días",No,Normal (OK)
26,195,Alejandra,Ramírez,Empresa P,Mao,Noroeste,19.5576,-71.0777,17831.79,6.6,Mascotas,3000,5/25/2022,2/25/2023,713.43,17118.36,Atrasado,25,"2 años, 1 mes, 11 días",Sí,En Legal
27,160,Gabriela,Ramírez,Empresa D,Salcedo,Cibao Norte,19.3827,-70.4165,26775.52,7.63,Vehículo,200000,3/3/2020,11/3/2020,28818.49,0,Pagado,51,"4 años, 3 meses, 14 días",No,Normal (OK)
28,61,Ricardo,González,Empresa T,Hato Mayor del Rey,Este,18.7647,-69.2574,26141.97,6.4,Inventario,120000,10/3/2021,12/3/2023,17205.7,8936.27,Atrasado,32,"3 años, 8 meses, 5 días",Sí,En Legal
29,42,Alejandra,Ramírez,Empresa L,Santa Cruz de Barahona,Sur,18.2085,-71.1001,15129.22,10.85,Plantas,1000,12/17/2023,10/17/2025,16770.74,0,Pagado,6,"1 año, 6 meses, 10 días",No,Normal (OK)
30,100,Ana,Ramírez,Empresa T,Dajabón,Noroeste,19.5477,-71.7069,48605.16,6.97,Electrónica,75000,3/31/2022,6/30/2023,24824.76,23780.4,Atrasado,27,"2 años, 3 meses, 6 días",Sí,En Legal
31,92,Juan,Mendoza,Empresa M,San Cristóbal,Sur,18.4161,-70.1098,20881.12,6.52,Plantas,1000,4/3/2020,10/3/2021,3267.96,17613.16,Atrasado,50,"4 años, 2 meses, 13 días",Sí,En Legal
32,24,Valentina,Flores,Empresa X,Puerto Plata,Cibao Norte,19.793,-70.6884,23315.65,14.54,Colecciones,100000,12/3/2020,7/3/2021,10799.53,12516.12,Atrasado,42,"4 años, 6 meses, 9 días",Sí,En Legal
33,137,Andrés,Flores,Empresa C,Bonao,Cibao Norte,18.9427,-70.4094,34396.25,6.33,Instrumentos Musicales,80000,11/8/2023,10/8/2024,36573.53,0,Pagado,7,"1 año, 7 meses, 19 días",No,Normal (OK)
34,149,Pedro,Santos,Empresa F,Concepción de La Vega,Cibao Norte,19.1199,-70.6483,4957.22,7.88,Maquinaria,180000,10/3/2022,1/3/2025,990.47,3966.75,Pendiente,20,"2 años, 8 meses, 0 día",No,Normal (OK)
